node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
101,4,90,oSIA,0,0,20.3877135
101,4,95,oSIA,0,0,21.52036425
101,5,100,oSIA,0,0,22.653015
101,5,25,oSIA,0,0,5.66325375
101,5,30,oSIA,0,0,6.7959045
101,5,35,oSIA,0,0,7.928555249
101,5,40,oSIA,0,0,9.061205999
101,5,45,oSIA,0,0,10.19385675
101,5,50,oSIA,1,1,11.75508506
101,5,55,oSIA,2,2,13.79564113
101,5,60,oSIA,1,1,14.48143789
101,5,65,oSIA,0,0,14.72445975
101,5,70,oSIA,0,0,15.8571105
101,5,75,oSIA,0,0,16.98976125
101,5,80,oSIA,0,0,18.122412
101,5,85,oSIA,0,0,19.25506275
101,5,90,oSIA,0,0,20.3877135
101,5,95,oSIA,0,0,21.52036425
102,1,100,oSIA,0,0,22.653015
102,1,25,oSIA,21055,3,7.907702495
102,1,30,oSIA,19273,3,8.798547284
102,1,35,oSIA,16761,3,9.934265189
102,1,40,oSIA,24,1,10.39367933
102,1,45,oSIA,0,0,10.19385675
102,1,50,oSIA,33,1,12.43720305
102,1,55,oSIA,2,1,13.46018269
102,1,60,oSIA,0,0,13.591809
102,1,65,oSIA,1,1,15.50264419
102,1,70,oSIA,0,0,15.8571105
102,1,75,oSIA,1,2,17.97849758
102,1,80,oSIA,0,0,18.122412
102,1,85,oSIA,0,0,19.25506275
102,1,90,oSIA,0,0,20.3877135
102,1,95,oSIA,0,0,21.52036425
102,2,100,oSIA,0,0,22.653015
102,2,25,oSIA,0,0,5.66325375
102,2,30,oSIA,0,0,6.7959045
102,2,35,oSIA,0,0,7.928555249
102,2,40,oSIA,11270,3,10.50456761
102,2,45,oSIA,0,0,10.19385675
102,2,50,oSIA,3448,4,13.5507767
102,2,55,oSIA,147,4,14.74549994
102,2,60,oSIA,46,4,16.15993321
102,2,65,oSIA,0,0,14.72445975
102,2,70,oSIA,0,0,15.8571105
102,2,75,oSIA,0,0,16.98976125
102,2,80,oSIA,0,0,18.122412
102,2,85,oSIA,0,0,19.25506275
102,2,90,oSIA,0,0,20.3877135
102,2,95,oSIA,0,0,21.52036425
102,3,100,oSIA,0,0,22.653015
102,3,25,oSIA,1,1,6.321519928
102,3,30,oSIA,0,0,6.7959045
102,3,35,oSIA,0,0,7.928555249
102,3,40,oSIA,0,0,9.061205999
102,3,45,oSIA,10535,4,13.03278353
102,3,50,oSIA,0,0,11.3265075
102,3,55,oSIA,0,0,12.45915825
102,3,60,oSIA,0,0,13.591809
102,3,65,oSIA,0,0,14.72445975
102,3,70,oSIA,0,0,15.8571105
102,3,75,oSIA,0,0,16.98976125
102,3,80,oSIA,0,0,18.122412
102,3,85,oSIA,0,0,19.25506275
102,3,90,oSIA,0,0,20.3877135
102,3,95,oSIA,0,0,21.52036425
102,4,100,oSIA,0,0,22.653015
102,4,25,oSIA,0,0,5.66325375
102,4,30,oSIA,7,3,8.68981794
102,4,35,oSIA,0,0,7.928555249
102,4,40,oSIA,0,0,9.061205999
102,4,45,oSIA,0,1,10.48324125
102,4,50,oSIA,0,0,11.3265075
102,4,55,oSIA,0,0,12.45915825
102,4,60,oSIA,0,0,13.591809
102,4,65,oSIA,0,0,14.72445975
102,4,70,oSIA,0,0,15.8571105
102,4,75,oSIA,0,0,16.98976125
102,4,80,oSIA,0,0,18.122412
102,4,85,oSIA,0,0,19.25506275
102,4,90,oSIA,0,0,20.3877135
102,4,95,oSIA,0,0,21.52036425
102,5,100,oSIA,0,0,22.653015
102,5,25,oSIA,0,0,5.66325375
102,5,30,oSIA,0,0,6.7959045
102,5,35,oSIA,1,1,8.815579122
102,5,40,oSIA,0,0,9.061205999
102,5,45,oSIA,0,0,10.19385675
102,5,50,oSIA,0,0,11.3265075
102,5,55,oSIA,0,0,12.45915825
102,5,60,oSIA,0,0,13.591809
102,5,65,oSIA,0,0,14.72445975
102,5,70,oSIA,0,0,15.8571105
102,5,75,oSIA,0,0,16.98976125
102,5,80,oSIA,0,0,18.122412
102,5,85,oSIA,0,0,19.25506275
102,5,90,oSIA,0,0,20.3877135
102,5,95,oSIA,0,0,21.52036425
103,1,100,oSIA,0,0,22.653015
103,1,25,oSIA,21353,2,7.548350012
103,1,30,oSIA,18814,3,8.861384579
103,1,35,oSIA,0,0,7.928555249
103,1,40,oSIA,2,2,11.43218846
103,1,45,oSIA,0,0,10.19385675
103,1,50,oSIA,1366,4,14.46009664
103,1,55,oSIA,206,3,14.84265042
103,1,60,oSIA,0,0,13.591809
103,1,65,oSIA,0,0,14.72445975
103,1,70,oSIA,1,1,16.5237805
103,1,75,oSIA,0,0,16.98976125
103,1,80,oSIA,0,0,18.122412
103,1,85,oSIA,0,0,19.25506275
103,1,90,oSIA,0,0,20.3877135
103,1,95,oSIA,0,0,21.52036425
103,2,100,oSIA,0,0,22.653015
103,2,25,oSIA,59,1,5.95542174
103,2,30,oSIA,0,0,6.7959045
103,2,35,oSIA,17241,2,9.369159526
103,2,40,oSIA,1813,3,11.15599699
103,2,45,oSIA,8622,3,12.5251235
103,2,50,oSIA,121,2,12.09238703
103,2,55,oSIA,102,2,13.34735767
103,2,60,oSIA,0,0,13.591809
103,2,65,oSIA,0,0,14.72445975
103,2,70,oSIA,0,0,15.8571105
103,2,75,oSIA,0,0,16.98976125
103,2,80,oSIA,0,0,18.122412
103,2,85,oSIA,0,0,19.25506275
103,2,90,oSIA,0,0,20.3877135
103,2,95,oSIA,0,0,21.52036425
103,3,100,oSIA,0,0,22.653015
103,3,25,oSIA,0,0,5.66325375
103,3,30,oSIA,0,0,6.7959045
103,3,35,oSIA,23,1,8.241090511
103,3,40,oSIA,499,3,10.18907467
103,3,45,oSIA,59,1,10.55008434
103,3,50,oSIA,0,0,11.3265075
103,3,55,oSIA,0,0,12.45915825
103,3,60,oSIA,0,0,13.591809
103,3,65,oSIA,0,0,14.72445975
103,3,70,oSIA,0,0,15.8571105
103,3,75,oSIA,0,0,16.98976125
103,3,80,oSIA,0,0,18.122412
103,3,85,oSIA,0,0,19.25506275
103,3,90,oSIA,0,0,20.3877135
103,3,95,oSIA,0,0,21.52036425
103,4,100,oSIA,0,0,22.653015
103,4,25,oSIA,0,0,5.66325375
103,4,30,oSIA,0,0,6.7959045
103,4,35,oSIA,0,0,7.928555249
103,4,40,oSIA,0,0,9.061205999
103,4,45,oSIA,0,0,10.19385675
103,4,50,oSIA,0,0,11.3265075
103,4,55,oSIA,0,0,12.45915825
103,4,60,oSIA,0,0,13.591809
103,4,65,oSIA,0,0,14.72445975
103,4,70,oSIA,0,0,15.8571105
103,4,75,oSIA,0,0,16.98976125
103,4,80,oSIA,0,0,18.122412
103,4,85,oSIA,0,0,19.25506275
103,4,90,oSIA,0,0,20.3877135
103,4,95,oSIA,0,0,21.52036425
103,5,100,oSIA,0,0,22.653015
103,5,25,oSIA,0,0,5.66325375
103,5,30,oSIA,4,0,6.7959045
103,5,35,oSIA,2,0,7.928555249
103,5,40,oSIA,0,0,9.061205999
103,5,45,oSIA,0,0,10.19385675
103,5,50,oSIA,0,0,11.3265075
103,5,55,oSIA,0,0,12.45915825
103,5,60,oSIA,0,0,13.591809
103,5,65,oSIA,0,0,14.72445975
103,5,70,oSIA,0,0,15.8571105
103,5,75,oSIA,0,0,16.98976125
103,5,80,oSIA,0,0,18.122412
103,5,85,oSIA,0,0,19.25506275
103,5,90,oSIA,0,0,20.3877135
103,5,95,oSIA,0,0,21.52036425
104,1,100,oSIA,0,0,22.653015
104,1,25,oSIA,0,0,5.66325375
104,1,30,oSIA,3593,1,8.227511166
104,1,35,oSIA,15952,4,10.41612848
104,1,40,oSIA,0,0,9.061205999
104,1,45,oSIA,48,1,11.41294786
104,1,50,oSIA,3447,4,14.28401171
104,1,55,oSIA,554,4,15.3056598
104,1,60,oSIA,0,0,13.591809
104,1,65,oSIA,0,0,14.72445975
104,1,70,oSIA,0,0,15.8571105
104,1,75,oSIA,0,0,16.98976125
104,1,80,oSIA,0,0,18.122412
104,1,85,oSIA,1,0,19.25506275
104,1,90,oSIA,0,0,20.3877135
104,1,95,oSIA,0,0,21.52036425
104,2,100,oSIA,0,0,22.653015
104,2,25,oSIA,18412,1,6.599281527
104,2,30,oSIA,15639,2,7.430060027
104,2,35,oSIA,0,0,7.928555249
104,2,40,oSIA,2171,1,10.33607267
104,2,45,oSIA,8267,4,12.0896887
104,2,50,oSIA,41,2,12.02012764
104,2,55,oSIA,15,2,13.18674813
104,2,60,oSIA,0,0,13.591809
104,2,65,oSIA,0,0,14.72445975
104,2,70,oSIA,0,0,15.8571105
104,2,75,oSIA,0,0,16.98976125
104,2,80,oSIA,0,0,18.122412
104,2,85,oSIA,0,0,19.25506275
104,2,90,oSIA,0,0,20.3877135
104,2,95,oSIA,0,0,21.52036425
104,3,100,oSIA,0,0,22.653015
104,3,25,oSIA,4824,2,6.219649275
104,3,30,oSIA,0,0,6.7959045
104,3,35,oSIA,0,0,7.928555249
104,3,40,oSIA,11659,4,10.43199642
104,3,45,oSIA,0,0,10.19385675
104,3,50,oSIA,0,0,11.3265075
104,3,55,oSIA,0,0,12.45915825
104,3,60,oSIA,0,0,13.591809
104,3,65,oSIA,0,0,14.72445975
104,3,70,oSIA,0,0,15.8571105
104,3,75,oSIA,0,0,16.98976125
104,3,80,oSIA,0,0,18.122412
104,3,85,oSIA,0,0,19.25506275
104,3,90,oSIA,0,0,20.3877135
104,3,95,oSIA,0,0,21.52036425
104,4,100,oSIA,0,0,22.653015
104,4,25,oSIA,0,0,5.66325375
104,4,30,oSIA,0,0,6.7959045
104,4,35,oSIA,0,0,7.928555249
104,4,40,oSIA,0,0,9.061205999
104,4,45,oSIA,0,0,10.19385675
104,4,50,oSIA,0,0,11.3265075
104,4,55,oSIA,0,0,12.45915825
104,4,60,oSIA,0,0,13.591809
104,4,65,oSIA,0,0,14.72445975
104,4,70,oSIA,0,0,15.8571105
104,4,75,oSIA,0,0,16.98976125
104,4,80,oSIA,0,0,18.122412
104,4,85,oSIA,0,0,19.25506275
104,4,90,oSIA,0,0,20.3877135
104,4,95,oSIA,0,0,21.52036425
104,5,100,oSIA,0,0,22.653015
104,5,25,oSIA,0,0,5.66325375
104,5,30,oSIA,0,0,6.7959045
104,5,35,oSIA,0,0,7.928555249
104,5,40,oSIA,0,0,9.061205999
104,5,45,oSIA,1,2,11.28988193
104,5,50,oSIA,0,0,11.3265075
104,5,55,oSIA,0,0,12.45915825
104,5,60,oSIA,8,2,15.17160678
104,5,65,oSIA,0,0,14.72445975
104,5,70,oSIA,0,0,15.8571105
104,5,75,oSIA,0,0,16.98976125
104,5,80,oSIA,0,0,18.122412
104,5,85,oSIA,0,0,19.25506275
104,5,90,oSIA,0,0,20.3877135
104,5,95,oSIA,0,0,21.52036425
105,1,100,oSIA,0,0,22.653015
105,1,25,oSIA,56,1,7.329529305
105,1,30,oSIA,20144,3,8.538475729
105,1,35,oSIA,16250,4,10.32131039
105,1,40,oSIA,0,0,9.061205999
105,1,45,oSIA,6242,4,13.27948256
105,1,50,oSIA,1,0,11.3265075
105,1,55,oSIA,0,0,12.45915825
105,1,60,oSIA,0,0,13.591809
105,1,65,oSIA,1,1,15.50192975
105,1,70,oSIA,0,0,15.8571105
105,1,75,oSIA,0,0,16.98976125
105,1,80,oSIA,0,0,18.122412
105,1,85,oSIA,0,0,19.25506275
